Project	JPMS Module Name	Maven Group	Maven Artifact	Released Version
ikonli-metrizeicons-pack	org.kordamp.ikonli.metrizeicons	org.kordamp.ikonli	ikonli-metrizeicons-pack	2.1.0
ikonli-octicons-pack	org.kordamp.ikonli.octicons	org.kordamp.ikonli	ikonli-octicons-pack	2.1.0
ikonli-openiconic-pack	org.kordamp.ikonli.openiconic	org.kordamp.ikonli	ikonli-openiconic-pack	2.1.0
ikonli-runestroicons-pack	org.kordamp.ikonli.runestroicons	org.kordamp.ikonli	ikonli-runestroicons-pack	2.1.0
ikonli-swing	org.kordamp.ikonli.swing	org.kordamp.ikonli	ikonli-swing	2.1.0
ikonli-typicons-pack	org.kordamp.ikonli.typicons	org.kordamp.ikonli	ikonli-typicons-pack	2.1.0
ikonli-weathericons-pack	org.kordamp.ikonli.weathericons	org.kordamp.ikonli	ikonli-weathericons-pack	2.1.0
ikonli-websymbols-pack	org.kordamp.ikonli.websymbols	org.kordamp.ikonli	ikonli-websymbols-pack	2.1.0
jsilhouette-javafx	org.kordamp.jsilhouette.javafx	org.kordamp.jsilhouette	jsilhouette-javafx	0.2.2
Jackson-core	com.fasterxml.jackson.core	com.fasterxml.jackson.core	jackson-core	2.9.3
jackson-databind	com.fasterxml.jackson.databind	com.fasterxml.jackson.core	jackson-databind	2.9.3
Joda-Time	org.joda.time	joda-time	joda-time	
Joda-Money	org.joda.money	org.joda	joda-money	
Joda-Beans	org.joda.beans	org.joda	joda-beans	2.0.2
Joda-Convert	org.joda.convert	org.joda	joda-convert	1.9.2
org.junit.platform:junit-platform-commons	org.junit.platform.commons	org.junit.platform	junit-platform-commons	1.0.2
org.junit.platform:junit-platform-console	org.junit.platform.console	org.junit.platform	junit-platform-console	1.0.2
org.junit.platform:junit-platform-launcher	org.junit.platform.launcher	org.junit.platform	junit-platform-launcher	1.0.2
org.junit.platform:junit-platform-engine	org.junit.platform.engine	org.junit.platform	junit-platform-engine	1.0.2
org.junit.platform:junit-platform-runner	org.junit.platform.runner	org.junit.platform	junit-platform-runner	1.0.2
org.junit.platform:junit-platform-suite-api	org.junit.platform.suite.api	org.junit.platform	junit-platform-suite-api	1.0.2
org.junit.jupiter:junit-jupiter-api	org.junit.jupiter.api	org.junit.jupiter	junit-jupiter-api	5.0.2
org.junit.jupiter:junit-jupiter-engine	org.junit.jupiter.engine	org.junit.jupiter	junit-jupiter-engine	5.0.2
org.junit.jupiter:junit-jupiter-migrationsupport	org.junit.jupiter.migrationsupport	org.junit.jupiter	junit-jupiter-migrationsupport	5.0.2
org.junit.jupiter:junit-jupiter-params	org.junit.jupiter.params	org.junit.jupiter	junit-jupiter-params	5.0.2
org.junit.vintage:junit-vintage-engine	org.junit.vintage.engine	org.junit.vintage	junit-vintage-engine	4.12.2
LWJGL	org.lwjgl	org.lwjgl	lwjgl	3.1.5
LWJGL - Assimp bindings	org.lwjgl.assimp	org.lwjgl	lwjgl-assimp	3.1.5
LWJGL - bgfx bindings	org.lwjgl.bgfx	org.lwjgl	lwjgl-bgfx	3.1.5
LWJGL - EGL bindings	org.lwjgl.egl	org.lwjgl	lwjgl-egl	3.1.5
LWJGL - GLFW bindings	org.lwjgl.glfw	org.lwjgl	lwjgl-glfw	3.1.5
LWJGL - JAWT bindings	org.lwjgl.jawt	org.lwjgl	lwjgl-jawt	3.1.5
LWJGL - jemalloc bindings	org.lwjgl.jemalloc	org.lwjgl	lwjgl-jemalloc	3.1.5
LWJGL - LMDB bindings	org.lwjgl.lmdb	org.lwjgl	lwjgl-lmdb	3.1.5
LWJGL - LZ4 bindings	org.lwjgl.lz4	org.lwjgl	lwjgl-lz4	3.1.5
LWJGL - NanoVG & NanoSVG bindings	org.lwjgl.nanovg	org.lwjgl	lwjgl-nanovg	3.1.5
LWJGL - Native File Dialog bindings	org.lwjgl.nfd	org.lwjgl	lwjgl-nfd	3.1.5
LWJGL - Nuklear bindings	org.lwjgl.nuklear	org.lwjgl	lwjgl-nuklear	3.1.5
LWJGL - ODBC bindings	org.lwjgl.odbc	org.lwjgl	lwjgl-odbc	3.1.5
LWJGL - OpenAL bindings	org.lwjgl.openal	org.lwjgl	lwjgl-openal	3.1.5
LWJGL - OpenCL bindings	org.lwjgl.opencl	org.lwjgl	lwjgl-opencl	3.1.5
LWJGL - OpenGL bindings	org.lwjgl.opengl	org.lwjgl	lwjgl-opengl	3.1.5
LWJGL - OpenGL ES bindings	org.lwjgl.opengles	org.lwjgl	lwjgl-opengles	3.1.5
LWJGL - OpenVR bindings	org.lwjgl.openvr	org.lwjgl	lwjgl-openvr	3.1.5
LWJGL - OVR bindings	org.lwjgl.ovr	org.lwjgl	lwjgl-ovr	3.1.5
LWJGL - par_shapes bindings	org.lwjgl.par	org.lwjgl	lwjgl-par	3.1.5
LWJGL - Remotery bindings	org.lwjgl.remotery	org.lwjgl	lwjgl-remotery	3.1.5
LWJGL - rpmalloc bindings	org.lwjgl.rpmalloc	org.lwjgl	lwjgl-rpmalloc	3.1.5
LWJGL - SSE bindings	org.lwjgl.sse	org.lwjgl	lwjgl-sse	3.1.5
LWJGL - stb bindings	org.lwjgl.stb	org.lwjgl	lwjgl-stb	3.1.5
LWJGL - Tiny OpenEXR bindings	org.lwjgl.tinyexr	org.lwjgl	lwjgl-tinyexr	3.1.5
LWJGL - Tiny File Dialogs bindings	org.lwjgl.tinyfd	org.lwjgl	lwjgl-tinyfd	3.1.5
LWJGL - AMD Tootle bindings	org.lwjgl.tootle	org.lwjgl	lwjgl-tootle	3.1.5
LWJGL - Vulkan bindings	org.lwjgl.vulkan	org.lwjgl	lwjgl-vulkan	3.1.5
LWJGL - xxHash bindings	org.lwjgl.xxhash	org.lwjgl	lwjgl-xxhash	3.1.5
LWJGL - Yoga bindings	org.lwjgl.yoga	org.lwjgl	lwjgl-yoga	3.1.5
LWJGL - Zstandard bindings	org.lwjgl.zstd	org.lwjgl	lwjgl-zstd	3.1.5
SLF4J API Module	org.slf4j	org.slf4j	slf4j-api	1.8.0-beta0
Spring AOP	spring.aop	org.springframework	spring-aop	5.0.2.RELEASE
Spring Aspects	spring.aspects	org.springframework	spring-aspects	5.0.2.RELEASE
Spring Beans	spring.beans	org.springframework	spring-beans	5.0.2.RELEASE
Spring Context Indexer	spring.context.indexer	org.springframework	spring-context-indexer	5.0.2.RELEASE
Spring Context Support	spring.context.support	org.springframework	spring-context-support	5.0.2.RELEASE
Spring Context	spring.context	org.springframework	spring-context	5.0.2.RELEASE
Spring Core	spring.core	org.springframework	spring-core	5.0.2.RELEASE
Spring Expression Language (SpEL)	spring.expression	org.springframework	spring-expression	5.0.2.RELEASE
Spring Instrument	spring.instrument	org.springframework	spring-instrument	5.0.2.RELEASE
Spring Commons Logging Bridge	spring.jcl	org.springframework	spring-jcl	5.0.2.RELEASE
Spring JDBC	spring.jdbc	org.springframework	spring-jdbc	5.0.2.RELEASE
Spring JMS	spring.jms	org.springframework	spring-jms	5.0.2.RELEASE
Spring Messaging	spring.messaging	org.springframework	spring-messaging	5.0.2.RELEASE
Spring Object/Relational Mapping	spring.orm	org.springframework	spring-orm	5.0.2.RELEASE
Spring Object/XML Marshalling	spring.oxm	org.springframework	spring-oxm	5.0.2.RELEASE
Spring TestContext Framework	spring.test	org.springframework	spring-test	5.0.2.RELEASE
Spring Transaction	spring.tx	org.springframework	spring-tx	5.0.2.RELEASE
Spring WebFlux	spring.webflux	org.springframework	spring-webflux	5.0.2.RELEASE
Spring Web MVC	spring.webmvc	org.springframework	spring-webmvc	5.0.2.RELEASE
Spring WebSocket	spring.websocket	org.springframework	spring-websocket	5.0.2.RELEASE
Square JavaPoet	com.squareup.javapoet	com.squareup	javapoet	
Square KotlinPoet	com.squareup.kotlinpoet	com.squareup	kotlinpoet	
